"CONTIG","MB.VERYSENSTIVE","MB.SENSITIVE","MB.SUPERSPECIFIC","CORRELATION_ABUNDANCIES","KMEANS_ABUNDANCIES_90"
"A_C_D_contig_10119",78,81,96,4,74
"A_C_D_contig_1012",77,80,85,1,80
"A_C_D_contig_10120",88,103,100,2,59
"A_C_D_contig_10121",0,0,0,6,71
"A_C_D_contig_10122",0,0,0,3,48
"A_C_D_contig_10123",0,0,0,5,90
"A_C_D_contig_10124",0,0,0,1,38
"A_C_D_contig_10125",38,0,0,3,35
"A_C_D_contig_10126",49,47,60,6,86
"A_C_D_contig_10127",0,26,33,3,50
"A_C_D_contig_10128",0,0,0,2,11
"A_C_D_contig_10129",0,0,0,8,35
"A_C_D_contig_1013",0,0,0,5,89
"A_C_D_contig_10130",0,0,0,5,85
"A_C_D_contig_10131",0,0,0,6,85
"A_C_D_contig_10132",0,0,0,7,3
"A_C_D_contig_10133",60,63,80,2,31
"A_C_D_contig_10134",0,0,0,3,7
"A_C_D_contig_10135",0,0,0,3,23
"A_C_D_contig_10136",77,80,85,1,80
"A_C_D_contig_10137",74,74,81,2,31
"A_C_D_contig_10138",47,0,53,6,40
"A_C_D_contig_10139",67,49,77,6,71
"A_C_D_contig_1014",25,26,33,3,50
"A_C_D_contig_10140",81,88,89,2,52
"A_C_D_contig_10141",29,29,37,1,54
"A_C_D_contig_10142",0,0,0,7,3
"A_C_D_contig_10143",8,10,11,3,23
"A_C_D_contig_10144",0,0,0,2,44
"A_C_D_contig_10145",55,69,86,5,7
"A_C_D_contig_10146",0,0,0,4,38
"A_C_D_contig_10147",8,10,11,3,23
"A_C_D_contig_10148",37,36,44,5,1
"A_C_D_contig_10149",92,100,115,2,9
"A_C_D_contig_1015",0,0,0,4,28
"A_C_D_contig_10150",52,49,50,6,71
"A_C_D_contig_10151",51,48,62,6,71
"A_C_D_contig_10152",8,0,38,3,85
"A_C_D_contig_10153",34,32,39,4,47
"A_C_D_contig_10154",25,26,33,3,76
"A_C_D_contig_10155",38,0,0,3,35
"A_C_D_contig_10156",0,0,0,6,10
"A_C_D_contig_10157",52,49,50,6,71
"A_C_D_contig_10158",0,0,0,3,85
"A_C_D_contig_10159",0,0,0,6,90
"A_C_D_contig_1016",59,58,72,3,7
"A_C_D_contig_10160",43,44,54,2,47
"A_C_D_contig_10161",69,69,86,2,31
"A_C_D_contig_10162",3,0,0,8,60
"A_C_D_contig_10163",0,0,0,5,89
"A_C_D_contig_10164",31,30,40,3,88
"A_C_D_contig_10165",50,61,49,8,36
"A_C_D_contig_10166",0,0,0,8,7
"A_C_D_contig_10167",0,0,0,1,83
"A_C_D_contig_10168",25,26,33,3,76
"A_C_D_contig_10169",54,51,63,6,54
"A_C_D_contig_1017",3,3,3,1,62
"A_C_D_contig_10170",46,45,57,8,36
"A_C_D_contig_10171",0,0,0,6,39
"A_C_D_contig_10172",0,0,0,6,40
"A_C_D_contig_10173",0,0,0,3,35
"A_C_D_contig_10174",0,0,0,2,88
"A_C_D_contig_10175",0,0,0,2,59
"A_C_D_contig_10176",44,0,59,5,46
"A_C_D_contig_10177",0,0,0,2,28
"A_C_D_contig_10178",0,0,0,5,4
"A_C_D_contig_10179",0,0,0,6,90
"A_C_D_contig_1018",37,36,24,5,85
"A_C_D_contig_10180",0,0,0,3,72
"A_C_D_contig_10181",51,0,84,5,27
"A_C_D_contig_10182",58,59,70,6,7
"A_C_D_contig_10183",0,0,0,6,84
"A_C_D_contig_10184",0,0,0,7,80
"A_C_D_contig_10185",43,44,54,2,47
"A_C_D_contig_10186",85,93,108,3,43
"A_C_D_contig_10187",0,0,0,1,3
"A_C_D_contig_10188",0,0,0,6,26
"A_C_D_contig_10189",0,0,0,5,63
"A_C_D_contig_1019",8,10,11,3,23
"A_C_D_contig_10190",50,61,49,8,36
"A_C_D_contig_10191",0,0,0,5,7
"A_C_D_contig_10192",0,0,0,3,88
"A_C_D_contig_10193",0,0,0,3,60
"A_C_D_contig_10194",0,0,0,6,80
"A_C_D_contig_10195",0,0,0,7,80
"A_C_D_contig_10196",67,71,77,6,90
"A_C_D_contig_10197",103,103,120,6,68
"A_C_D_contig_10198",0,89,103,3,41
"A_C_D_contig_10199",105,0,119,5,4
"A_C_D_contig_102",30,32,39,4,3
"A_C_D_contig_1020",56,56,71,2,58
"A_C_D_contig_10200",0,0,0,6,65
"A_C_D_contig_10201",0,0,82,2,58
"A_C_D_contig_10202",36,0,35,3,88
"A_C_D_contig_10203",10,8,13,6,65
"A_C_D_contig_10204",0,0,0,5,89
"A_C_D_contig_10205",69,59,70,4,51
"A_C_D_contig_10206",0,0,0,5,4
"A_C_D_contig_10207",103,103,120,2,43
"A_C_D_contig_10208",44,37,47,5,86
"A_C_D_contig_10209",42,50,74,1,51
"A_C_D_contig_1021",0,0,0,5,46
"A_C_D_contig_10210",0,0,0,4,70
"A_C_D_contig_10211",34,42,38,2,51
"A_C_D_contig_10212",55,0,0,6,13
"A_C_D_contig_10213",13,16,18,3,45
"A_C_D_contig_10214",79,83,97,5,27
"A_C_D_contig_10215",0,0,0,3,58
"A_C_D_contig_10216",28,37,47,5,40
"A_C_D_contig_10217",25,26,33,3,76
"A_C_D_contig_10218",28,37,47,6,40
"A_C_D_contig_10219",25,26,33,3,76
"A_C_D_contig_1022",51,48,62,6,71
"A_C_D_contig_10220",0,0,0,3,28
"A_C_D_contig_10221",0,0,0,4,51
"A_C_D_contig_10222",0,0,0,6,26
"A_C_D_contig_10223",0,0,0,3,44
"A_C_D_contig_10224",0,0,0,3,20
"A_C_D_contig_10225",98,107,118,8,53
"A_C_D_contig_10226",0,0,0,6,26
"A_C_D_contig_10227",0,0,0,4,17
"A_C_D_contig_10228",54,51,63,6,61
"A_C_D_contig_10229",0,0,0,5,4
"A_C_D_contig_1023",4,4,5,1,62
"A_C_D_contig_10230",69,69,86,3,20
"A_C_D_contig_10231",0,0,0,3,81
"A_C_D_contig_10232",51,48,62,6,19
"A_C_D_contig_10233",0,0,0,8,53
"A_C_D_contig_10234",79,83,97,5,26
"A_C_D_contig_10235",79,83,97,5,42
"A_C_D_contig_10236",0,0,0,4,55
"A_C_D_contig_10237",0,0,0,5,86
"A_C_D_contig_10238",0,0,0,5,89
"A_C_D_contig_10239",52,49,77,6,71
"A_C_D_contig_1024",17,14,19,6,29
"A_C_D_contig_10240",83,76,107,2,74
"A_C_D_contig_10241",47,64,53,5,89
"A_C_D_contig_10242",52,49,50,6,71
"A_C_D_contig_10243",0,0,0,7,3
"A_C_D_contig_10244",90,114,124,2,48
"A_C_D_contig_10245",56,56,71,2,31
"A_C_D_contig_10246",43,44,54,2,47
"A_C_D_contig_10247",47,0,53,6,46
"A_C_D_contig_10248",54,51,63,7,54
"A_C_D_contig_10249",52,49,50,6,71
"A_C_D_contig_1025",52,49,50,6,71
"A_C_D_contig_10250",0,0,0,2,52
"A_C_D_contig_10251",0,0,0,6,19
"A_C_D_contig_10252",0,0,0,1,62
"A_C_D_contig_10253",12,13,16,2,16
"A_C_D_contig_10254",40,38,46,3,88
"A_C_D_contig_10255",34,0,0,3,88
"A_C_D_contig_10256",34,0,0,5,36
"A_C_D_contig_10257",0,0,0,1,62
"A_C_D_contig_10258",0,0,0,2,23
"A_C_D_contig_10259",0,0,0,3,48
"A_C_D_contig_1026",10,8,13,6,65
"A_C_D_contig_10260",0,56,71,8,24
"A_C_D_contig_10261",16,18,24,5,85
"A_C_D_contig_10262",33,33,41,3,76
"A_C_D_contig_10263",88,103,106,2,9
"A_C_D_contig_10264",0,0,0,5,63
"A_C_D_contig_10265",0,0,0,5,68
"A_C_D_contig_10266",0,0,0,5,27
"A_C_D_contig_10267",52,49,50,6,19
"A_C_D_contig_10268",13,0,18,3,45
"A_C_D_contig_10269",0,0,0,5,85
"A_C_D_contig_1027",0,0,0,6,61
"A_C_D_contig_10270",50,41,49,8,88
"A_C_D_contig_10271",79,83,105,5,10
"A_C_D_contig_10272",38,0,0,3,35
"A_C_D_contig_10273",97,96,110,3,5
"A_C_D_contig_10274",69,69,86,2,31
"A_C_D_contig_10275",0,0,0,8,34
"A_C_D_contig_10276",74,103,81,2,20
"A_C_D_contig_10277",0,0,0,2,48
"A_C_D_contig_10278",75,79,93,1,55
"A_C_D_contig_10279",0,0,0,2,74
"A_C_D_contig_1028",47,0,53,6,40
"A_C_D_contig_10280",0,0,0,3,16
"A_C_D_contig_10281",69,69,86,2,20
"A_C_D_contig_10282",0,0,0,6,68
"A_C_D_contig_10283",96,105,121,3,30
"A_C_D_contig_10284",51,48,62,6,71
"A_C_D_contig_10285",1,1,1,1,62
"A_C_D_contig_10286",0,0,0,3,22
"A_C_D_contig_10287",0,0,0,3,68
"A_C_D_contig_10288",13,12,18,3,45
"A_C_D_contig_10289",0,0,0,3,28
"A_C_D_contig_1029",5,5,7,3,87
"A_C_D_contig_10290",0,0,0,8,29
"A_C_D_contig_10291",0,0,0,8,41
"A_C_D_contig_10292",0,0,0,4,79
"A_C_D_contig_10293",56,56,71,2,31
"A_C_D_contig_10294",50,61,69,3,7
"A_C_D_contig_10295",93,101,116,6,6
"A_C_D_contig_10296",54,51,63,6,54
"A_C_D_contig_10297",0,0,0,6,90
"A_C_D_contig_10298",0,0,0,2,52
"A_C_D_contig_10299",0,0,0,3,36
"A_C_D_contig_103",0,0,0,6,90
"A_C_D_contig_1030",69,69,86,3,41
"A_C_D_contig_10300",0,0,0,6,90
"A_C_D_contig_10301",52,49,50,6,90
"A_C_D_contig_10302",0,0,0,6,71
"A_C_D_contig_10303",0,0,0,3,88
"A_C_D_contig_10304",79,83,97,5,42
"A_C_D_contig_10305",0,0,0,4,29
"A_C_D_contig_10306",51,53,64,6,90
"A_C_D_contig_10307",53,57,85,1,80
"A_C_D_contig_10308",0,0,0,2,88
"A_C_D_contig_10309",0,0,0,6,19
"A_C_D_contig_1031",0,0,0,5,1
"A_C_D_contig_10310",0,0,0,6,86
"A_C_D_contig_10311",0,0,0,3,34
"A_C_D_contig_10312",44,54,58,6,86
"A_C_D_contig_10313",43,44,54,4,51
"A_C_D_contig_10314",26,0,34,2,35
"A_C_D_contig_10315",63,68,75,5,26
"A_C_D_contig_10316",0,0,0,2,28
"A_C_D_contig_10317",0,0,0,8,33
"A_C_D_contig_10318",15,17,20,2,45
"A_C_D_contig_10319",46,45,57,8,36
"A_C_D_contig_1032",6,6,8,6,14
"A_C_D_contig_10320",71,72,82,3,41
"A_C_D_contig_10321",94,76,107,2,28
"A_C_D_contig_10322",28,37,47,6,46
"A_C_D_contig_10323",50,41,49,8,88
"A_C_D_contig_10324",0,0,0,1,80
"A_C_D_contig_10325",0,0,0,1,80
"A_C_D_contig_10326",89,91,111,2,59
"A_C_D_contig_10327",0,0,0,6,71
"A_C_D_contig_10328",44,0,0,6,46
"A_C_D_contig_10329",50,41,49,8,36
"A_C_D_contig_1033",64,66,81,3,31
"A_C_D_contig_10330",0,0,0,6,46
"A_C_D_contig_10331",24,25,36,6,3
"A_C_D_contig_10332",73,0,0,3,34
"A_C_D_contig_10333",0,0,0,3,35
"A_C_D_contig_10334",0,0,0,1,83
"A_C_D_contig_10335",0,0,0,4,39
"A_C_D_contig_10336",0,0,0,1,85
"A_C_D_contig_10337",0,0,0,3,23
"A_C_D_contig_10338",38,0,0,3,35
"A_C_D_contig_10339",49,47,60,5,86
