"CONTIG","MB.VERYSENSTIVE","MB.SENSITIVE","MB.SUPERSPECIFIC","CORRELATION_ABUNDANCIES","KMEANS_ABUNDANCIES_90"
"A_C_D_contig_26330",0,0,0,3,35
"A_C_D_contig_26331",56,56,71,2,31
"A_C_D_contig_26332",0,0,0,3,53
"A_C_D_contig_26333",0,0,0,8,22
"A_C_D_contig_26334",0,0,0,5,4
"A_C_D_contig_26335",0,0,0,3,39
"A_C_D_contig_26336",0,0,0,3,30
"A_C_D_contig_26337",74,82,89,2,20
"A_C_D_contig_26338",25,26,33,3,76
"A_C_D_contig_26339",0,0,0,5,73
"A_C_D_contig_2634",0,0,0,3,76
"A_C_D_contig_26340",0,0,0,1,3
"A_C_D_contig_26341",70,70,84,3,24
"A_C_D_contig_26342",50,41,49,8,36
"A_C_D_contig_26343",0,0,0,5,73
"A_C_D_contig_26344",0,0,0,3,21
"A_C_D_contig_26345",0,0,0,2,59
"A_C_D_contig_26346",0,0,0,1,83
"A_C_D_contig_26347",0,0,0,4,29
"A_C_D_contig_26348",0,0,0,1,38
"A_C_D_contig_26349",0,87,118,8,33
"A_C_D_contig_2635",77,80,0,6,42
"A_C_D_contig_26350",25,26,33,3,76
"A_C_D_contig_26351",0,0,0,4,29
"A_C_D_contig_26352",0,0,0,2,44
"A_C_D_contig_26353",0,0,0,4,79
"A_C_D_contig_26354",19,19,22,3,85
"A_C_D_contig_26355",0,0,0,8,85
"A_C_D_contig_26356",96,105,121,3,5
"A_C_D_contig_26357",0,0,0,3,45
"A_C_D_contig_26358",0,0,0,3,35
"A_C_D_contig_26359",79,83,105,5,8
"A_C_D_contig_2636",76,86,97,8,33
"A_C_D_contig_26360",25,60,33,3,32
"A_C_D_contig_26361",0,0,0,2,9
"A_C_D_contig_26362",106,114,128,2,28
"A_C_D_contig_26363",94,0,0,3,34
"A_C_D_contig_26364",70,75,84,3,24
"A_C_D_contig_26365",0,0,0,3,88
"A_C_D_contig_26366",0,0,0,6,19
"A_C_D_contig_26367",0,0,0,5,27
"A_C_D_contig_26368",79,83,105,6,8
"A_C_D_contig_26369",50,61,69,3,7
"A_C_D_contig_2637",0,0,0,3,85
"A_C_D_contig_26370",0,0,0,6,68
"A_C_D_contig_26371",0,0,0,8,22
"A_C_D_contig_26372",0,0,0,5,85
"A_C_D_contig_26373",0,0,0,2,20
"A_C_D_contig_26374",11,12,14,2,23
"A_C_D_contig_26375",107,112,130,3,25
"A_C_D_contig_26376",0,0,0,1,38
"A_C_D_contig_26377",69,69,86,2,20
"A_C_D_contig_26378",69,92,94,2,52
"A_C_D_contig_26379",0,0,0,5,27
"A_C_D_contig_2638",51,0,64,8,7
"A_C_D_contig_26380",0,0,0,2,31
"A_C_D_contig_26381",0,0,0,5,63
"A_C_D_contig_26382",54,51,63,7,54
"A_C_D_contig_26383",0,0,0,3,50
"A_C_D_contig_26384",0,0,0,4,79
"A_C_D_contig_26385",0,0,0,3,70
"A_C_D_contig_26386",0,0,0,3,24
"A_C_D_contig_26387",0,0,0,4,74
"A_C_D_contig_26388",89,91,111,2,20
"A_C_D_contig_26389",0,0,0,8,22
"A_C_D_contig_2639",0,0,0,4,11
"A_C_D_contig_26390",0,0,0,2,47
"A_C_D_contig_26391",0,0,0,5,6
"A_C_D_contig_26392",44,54,58,6,46
"A_C_D_contig_26393",0,0,0,3,70
"A_C_D_contig_26394",0,0,0,6,8
"A_C_D_contig_26395",0,0,0,4,39
"A_C_D_contig_26396",74,88,89,3,34
"A_C_D_contig_26397",0,0,0,5,1
"A_C_D_contig_26398",56,56,59,3,88
"A_C_D_contig_26399",0,0,0,5,46
"A_C_D_contig_264",24,25,36,6,3
"A_C_D_contig_2640",29,29,37,1,3
"A_C_D_contig_26400",0,0,0,8,41
"A_C_D_contig_26401",0,0,0,5,41
"A_C_D_contig_26402",53,57,68,1,84
"A_C_D_contig_26403",0,0,0,2,43
"A_C_D_contig_26404",0,0,0,3,24
"A_C_D_contig_26405",0,0,0,5,89
"A_C_D_contig_26406",0,0,0,6,6
"A_C_D_contig_26407",0,0,0,5,42
"A_C_D_contig_26408",48,43,55,2,58
"A_C_D_contig_26409",0,0,0,8,33
"A_C_D_contig_2641",26,27,34,2,47
"A_C_D_contig_26410",90,97,119,2,43
"A_C_D_contig_26411",0,0,0,3,45
"A_C_D_contig_26412",0,0,0,2,58
"A_C_D_contig_26413",0,0,0,5,89
"A_C_D_contig_26414",0,0,0,5,27
"A_C_D_contig_26415",0,0,0,1,55
"A_C_D_contig_26416",0,0,0,2,44
"A_C_D_contig_26417",0,0,0,5,10
"A_C_D_contig_26418",0,0,0,6,83
"A_C_D_contig_26419",0,0,0,5,42
"A_C_D_contig_2642",53,103,0,8,41
"A_C_D_contig_26420",0,0,0,3,70
"A_C_D_contig_26421",82,89,103,8,34
"A_C_D_contig_26422",0,0,0,8,36
"A_C_D_contig_26423",88,92,122,2,44
"A_C_D_contig_26424",63,68,75,5,89
"A_C_D_contig_26425",0,0,0,5,42
"A_C_D_contig_26426",66,67,81,2,31
"A_C_D_contig_26427",0,0,0,2,52
"A_C_D_contig_26428",0,0,0,1,55
"A_C_D_contig_26429",0,0,0,3,36
"A_C_D_contig_2643",69,103,94,2,52
"A_C_D_contig_26430",0,0,0,3,5
"A_C_D_contig_26431",0,0,0,3,45
"A_C_D_contig_26432",69,69,86,2,31
"A_C_D_contig_26433",0,0,0,5,4
"A_C_D_contig_26434",74,103,102,2,43
"A_C_D_contig_26435",0,0,0,6,26
"A_C_D_contig_26436",0,0,0,3,33
"A_C_D_contig_26437",0,0,0,2,28
"A_C_D_contig_26438",0,0,0,2,31
"A_C_D_contig_26439",77,80,0,5,26
"A_C_D_contig_2644",7,7,9,3,60
"A_C_D_contig_26440",0,0,0,6,46
"A_C_D_contig_26441",0,0,0,1,80
"A_C_D_contig_26442",35,35,43,3,39
"A_C_D_contig_26443",73,85,90,3,34
"A_C_D_contig_26444",0,0,0,5,42
"A_C_D_contig_26445",0,0,0,2,43
"A_C_D_contig_26446",40,30,51,2,58
"A_C_D_contig_26447",0,0,0,3,68
"A_C_D_contig_26448",0,0,0,3,7
"A_C_D_contig_26449",0,0,0,2,58
"A_C_D_contig_2645",73,85,90,8,34
"A_C_D_contig_26450",0,0,0,6,19
"A_C_D_contig_26451",0,0,0,2,50
"A_C_D_contig_26452",0,0,0,3,32
"A_C_D_contig_26453",0,0,0,1,69
"A_C_D_contig_26454",0,0,0,6,42
"A_C_D_contig_26455",0,0,0,3,70
"A_C_D_contig_26456",0,0,0,5,68
"A_C_D_contig_26457",69,69,0,8,7
"A_C_D_contig_26458",0,0,0,5,42
"A_C_D_contig_26459",74,82,89,2,20
"A_C_D_contig_2646",0,0,0,6,54
"A_C_D_contig_26460",0,0,0,2,48
"A_C_D_contig_26461",50,61,0,3,7
"A_C_D_contig_26462",79,83,97,6,42
"A_C_D_contig_26463",74,74,81,2,31
"A_C_D_contig_26464",0,0,0,6,42
"A_C_D_contig_26465",0,0,0,6,68
"A_C_D_contig_26466",71,72,82,3,41
"A_C_D_contig_26467",58,59,70,1,51
"A_C_D_contig_26468",0,0,0,3,5
"A_C_D_contig_26469",0,0,0,8,70
"A_C_D_contig_2647",0,0,7,3,87
"A_C_D_contig_26470",74,74,81,3,20
"A_C_D_contig_26471",0,0,0,6,86
"A_C_D_contig_26472",74,82,87,2,31
"A_C_D_contig_26473",0,0,0,2,81
"A_C_D_contig_26474",0,0,0,5,13
"A_C_D_contig_26475",0,0,0,6,90
"A_C_D_contig_26476",0,0,0,5,89
"A_C_D_contig_26477",0,0,0,3,25
"A_C_D_contig_26478",0,0,0,2,17
"A_C_D_contig_26479",0,0,0,7,3
"A_C_D_contig_2648",0,0,0,2,58
"A_C_D_contig_26480",0,0,0,1,38
"A_C_D_contig_26481",0,0,0,5,86
"A_C_D_contig_26482",0,0,0,6,42
"A_C_D_contig_26483",0,0,0,5,63
"A_C_D_contig_26484",70,70,66,3,24
"A_C_D_contig_26485",0,0,0,6,46
"A_C_D_contig_26486",64,103,99,3,33
"A_C_D_contig_26487",0,0,0,5,27
"A_C_D_contig_26488",0,0,0,8,36
"A_C_D_contig_26489",0,0,0,6,63
"A_C_D_contig_2649",0,0,0,8,41
"A_C_D_contig_26490",0,0,0,5,36
"A_C_D_contig_26491",90,102,0,5,4
"A_C_D_contig_26492",0,0,0,8,53
"A_C_D_contig_26493",0,0,0,4,9
"A_C_D_contig_26494",74,82,102,2,52
"A_C_D_contig_26495",79,83,97,5,42
"A_C_D_contig_26496",36,0,0,8,7
"A_C_D_contig_26497",0,0,0,2,72
"A_C_D_contig_26498",13,16,18,3,45
"A_C_D_contig_26499",0,0,0,3,22
"A_C_D_contig_265",0,0,0,6,46
"A_C_D_contig_2650",42,50,64,6,86
"A_C_D_contig_26500",103,103,120,2,28
"A_C_D_contig_26501",0,0,0,1,66
"A_C_D_contig_26502",74,82,89,2,41
"A_C_D_contig_26503",0,0,0,6,10
"A_C_D_contig_26504",0,0,0,5,1
"A_C_D_contig_26505",0,0,0,5,89
"A_C_D_contig_26506",0,0,0,3,81
"A_C_D_contig_26507",0,0,0,5,26
"A_C_D_contig_26508",0,0,0,6,61
"A_C_D_contig_26509",0,0,0,8,25
"A_C_D_contig_2651",26,27,45,2,88
"A_C_D_contig_26510",0,0,0,2,44
"A_C_D_contig_26511",50,0,49,8,7
"A_C_D_contig_26512",0,0,0,6,42
"A_C_D_contig_26513",0,0,0,8,53
"A_C_D_contig_26514",0,0,0,4,17
"A_C_D_contig_26515",98,0,0,8,22
"A_C_D_contig_26516",0,0,0,5,73
"A_C_D_contig_26517",55,0,0,2,31
"A_C_D_contig_26518",0,0,0,2,9
"A_C_D_contig_26519",0,0,0,3,25
"A_C_D_contig_2652",0,0,0,8,39
"A_C_D_contig_26520",0,0,0,2,20
"A_C_D_contig_26521",0,0,0,5,8
"A_C_D_contig_26522",74,99,95,3,34
"A_C_D_contig_26523",25,26,33,3,76
"A_C_D_contig_26524",90,97,119,2,48
"A_C_D_contig_26525",37,36,44,5,1
"A_C_D_contig_26526",25,26,33,3,76
"A_C_D_contig_26527",0,0,0,3,30
"A_C_D_contig_26528",0,0,0,8,34
"A_C_D_contig_26529",0,0,0,4,39
"A_C_D_contig_2653",25,26,33,3,76
"A_C_D_contig_26530",0,0,0,6,86
"A_C_D_contig_26531",37,36,44,5,1
"A_C_D_contig_26532",0,0,0,1,74
"A_C_D_contig_26533",79,0,0,5,27
"A_C_D_contig_26534",0,0,0,6,19
"A_C_D_contig_26535",0,0,0,8,36
"A_C_D_contig_26536",106,114,128,2,28
"A_C_D_contig_26537",0,0,0,5,42
"A_C_D_contig_26538",106,114,128,3,25
"A_C_D_contig_26539",0,0,0,5,63
"A_C_D_contig_2654",5,0,0,3,87
"A_C_D_contig_26540",73,85,90,2,34
"A_C_D_contig_26541",12,13,16,2,16
"A_C_D_contig_26542",0,0,0,5,27
"A_C_D_contig_26543",73,0,0,2,59
"A_C_D_contig_26544",0,0,0,2,28
"A_C_D_contig_26545",70,70,84,3,24
"A_C_D_contig_26546",0,0,0,6,6
"A_C_D_contig_26547",0,0,0,5,4
"A_C_D_contig_26548",0,0,0,6,40
"A_C_D_contig_26549",0,38,46,6,86
"A_C_D_contig_2655",0,0,0,3,23
"A_C_D_contig_26550",0,0,0,1,84
"A_C_D_contig_26551",90,87,101,6,6
"A_C_D_contig_26552",27,23,31,4,39
"A_C_D_contig_26553",66,67,81,3,31
"A_C_D_contig_26554",52,49,50,8,36
"A_C_D_contig_26555",0,0,0,3,43
"A_C_D_contig_26556",75,79,93,1,38
"A_C_D_contig_26557",0,0,0,5,27
"A_C_D_contig_26558",0,0,0,3,53
"A_C_D_contig_26559",74,103,102,2,52
"A_C_D_contig_2656",0,0,0,2,28
"A_C_D_contig_26560",0,0,0,2,52
"A_C_D_contig_26561",0,0,0,5,8
"A_C_D_contig_26562",0,0,0,3,39
"A_C_D_contig_26563",73,85,90,2,74
"A_C_D_contig_26564",0,0,0,1,79
"A_C_D_contig_26565",102,111,127,3,5
"A_C_D_contig_26566",0,0,0,2,48
"A_C_D_contig_26567",0,0,0,8,36
"A_C_D_contig_26568",43,44,54,2,47
"A_C_D_contig_26569",56,56,71,2,31
"A_C_D_contig_2657",0,0,0,4,17
"A_C_D_contig_26570",0,0,0,3,5
"A_C_D_contig_26571",0,0,0,5,18
"A_C_D_contig_26572",0,0,0,7,54
"A_C_D_contig_26573",90,87,0,8,34
"A_C_D_contig_26574",0,0,0,2,28
"A_C_D_contig_26575",0,0,0,4,82
"A_C_D_contig_26576",0,0,0,2,41
"A_C_D_contig_26577",0,0,0,6,90
"A_C_D_contig_26578",0,0,0,2,82
"A_C_D_contig_26579",0,0,0,3,28
"A_C_D_contig_2658",24,25,36,6,3
"A_C_D_contig_26580",0,0,0,8,25
"A_C_D_contig_26581",37,36,44,5,1
"A_C_D_contig_26582",107,112,130,3,25
"A_C_D_contig_26583",0,0,0,3,5
"A_C_D_contig_26584",0,0,0,8,41
"A_C_D_contig_26585",0,0,0,3,51
"A_C_D_contig_26586",0,0,0,6,61
"A_C_D_contig_26587",0,0,0,8,53
"A_C_D_contig_26588",68,104,117,8,22
"A_C_D_contig_26589",74,82,81,2,20
"A_C_D_contig_2659",108,0,0,5,10
"A_C_D_contig_26590",90,87,98,3,22
"A_C_D_contig_26591",79,83,97,5,42
"A_C_D_contig_26592",0,0,0,2,44
"A_C_D_contig_26593",78,97,117,3,70
"A_C_D_contig_26594",0,0,0,6,61
"A_C_D_contig_26595",100,92,106,2,43
"A_C_D_contig_26596",0,0,0,5,8
"A_C_D_contig_26597",103,103,122,2,9
"A_C_D_contig_26598",0,0,0,8,53
"A_C_D_contig_26599",0,0,0,6,71
"A_C_D_contig_266",0,0,0,2,58
"A_C_D_contig_2660",0,0,0,5,85
"A_C_D_contig_26600",69,69,86,2,31
"A_C_D_contig_26601",102,111,127,3,5
"A_C_D_contig_26602",0,0,0,4,74
"A_C_D_contig_26603",0,0,0,3,12
"A_C_D_contig_26604",0,0,0,2,20
"A_C_D_contig_26605",0,0,0,3,15
"A_C_D_contig_26606",11,9,14,3,60
"A_C_D_contig_26607",0,0,0,5,73
"A_C_D_contig_26608",102,111,127,3,5
"A_C_D_contig_26609",0,0,0,3,30
"A_C_D_contig_2661",7,7,9,3,60
"A_C_D_contig_26610",102,111,127,3,30
"A_C_D_contig_26611",102,111,127,3,30
"A_C_D_contig_26612",50,61,49,8,88
"A_C_D_contig_26613",42,28,52,7,3
"A_C_D_contig_26614",0,0,0,5,86
"A_C_D_contig_26615",92,100,115,2,9
"A_C_D_contig_26616",0,0,0,8,25
"A_C_D_contig_26617",0,0,0,6,84
"A_C_D_contig_26618",0,0,0,6,26
"A_C_D_contig_26619",0,0,0,5,27
"A_C_D_contig_2662",0,0,0,5,4
"A_C_D_contig_26620",0,0,0,6,8
"A_C_D_contig_26621",11,12,15,3,16
"A_C_D_contig_26622",0,0,0,6,10
"A_C_D_contig_26623",0,0,0,4,29
"A_C_D_contig_26624",0,0,0,5,24
"A_C_D_contig_26625",0,0,0,8,24
"A_C_D_contig_26626",50,41,49,3,36
"A_C_D_contig_26627",69,69,86,2,31
"A_C_D_contig_26628",0,0,0,4,9
"A_C_D_contig_26629",0,0,0,7,83
"A_C_D_contig_2663",79,83,97,5,42
"A_C_D_contig_26630",46,45,57,8,7
"A_C_D_contig_26631",0,0,0,8,39
"A_C_D_contig_26632",0,0,0,8,33
"A_C_D_contig_26633",51,53,64,5,41
"A_C_D_contig_26634",79,83,97,5,42
"A_C_D_contig_26635",0,0,0,2,70
"A_C_D_contig_26636",71,72,82,3,31
"A_C_D_contig_26637",0,0,0,6,3
"A_C_D_contig_26638",0,0,0,1,55
"A_C_D_contig_26639",36,0,35,3,36
"A_C_D_contig_2664",43,44,54,2,58
"A_C_D_contig_26640",0,0,0,5,63
"A_C_D_contig_26641",56,56,56,2,58
"A_C_D_contig_26642",0,0,0,3,53
"A_C_D_contig_26643",0,0,0,3,22
"A_C_D_contig_26644",0,0,0,6,90
"A_C_D_contig_26645",0,0,0,2,44
"A_C_D_contig_26646",13,16,18,3,50
"A_C_D_contig_26647",0,0,0,1,84
"A_C_D_contig_26648",0,0,0,3,30
"A_C_D_contig_26649",48,43,55,3,58
"A_C_D_contig_2665",0,0,0,6,61
"A_C_D_contig_26650",61,65,76,3,15
"A_C_D_contig_26651",0,0,0,6,90
"A_C_D_contig_26652",0,0,0,8,68
"A_C_D_contig_26653",0,0,0,6,19
"A_C_D_contig_26654",0,0,0,2,43
"A_C_D_contig_26655",0,0,0,2,28
"A_C_D_contig_26656",0,0,0,8,33
"A_C_D_contig_26657",0,0,0,6,90
"A_C_D_contig_26658",0,0,0,3,53
"A_C_D_contig_26659",0,0,0,5,26
"A_C_D_contig_2666",6,6,8,6,75
"A_C_D_contig_26660",0,0,0,8,36
"A_C_D_contig_26661",69,0,0,3,41
"A_C_D_contig_26662",0,0,0,5,73
"A_C_D_contig_26663",0,0,0,7,83
"A_C_D_contig_26664",0,0,0,8,72
"A_C_D_contig_26665",0,0,0,5,13
"A_C_D_contig_26666",0,0,0,3,58
"A_C_D_contig_26667",0,0,0,2,48
"A_C_D_contig_26668",0,0,0,3,28
"A_C_D_contig_26669",0,0,0,5,89
"A_C_D_contig_2667",103,103,120,1,79
"A_C_D_contig_26670",74,0,107,8,25
"A_C_D_contig_26671",0,0,0,5,27
"A_C_D_contig_26672",50,41,49,8,88
"A_C_D_contig_26673",0,0,0,2,59
"A_C_D_contig_26674",0,0,0,5,89
"A_C_D_contig_26675",0,0,0,4,74
"A_C_D_contig_26676",46,0,0,8,7
"A_C_D_contig_26677",0,0,0,8,88
"A_C_D_contig_26678",0,0,0,5,27
"A_C_D_contig_26679",54,51,63,7,54
"A_C_D_contig_2668",0,0,0,6,14
"A_C_D_contig_26680",99,108,123,2,48
"A_C_D_contig_26681",0,0,0,8,36
"A_C_D_contig_26682",0,0,0,3,34
"A_C_D_contig_26683",102,111,127,3,5
"A_C_D_contig_26684",0,0,0,2,52
"A_C_D_contig_26685",53,103,120,1,83
"A_C_D_contig_26686",0,0,0,3,88
"A_C_D_contig_26687",0,0,0,4,74
"A_C_D_contig_26688",108,114,102,2,9
"A_C_D_contig_26689",0,0,0,6,86
"A_C_D_contig_2669",40,30,51,2,58
"A_C_D_contig_26690",0,0,0,2,44
"A_C_D_contig_26691",58,59,70,1,82
"A_C_D_contig_26692",93,101,116,6,10
"A_C_D_contig_26693",0,0,0,3,23
"A_C_D_contig_26694",96,105,121,3,30
"A_C_D_contig_26695",0,0,0,6,19
"A_C_D_contig_26696",79,0,0,5,26
"A_C_D_contig_26697",0,0,0,3,39
"A_C_D_contig_26698",58,59,70,2,82
"A_C_D_contig_26699",0,0,0,5,73
"A_C_D_contig_267",3,3,3,1,62
"A_C_D_contig_2670",0,90,104,2,15
"A_C_D_contig_26700",79,83,97,6,42
"A_C_D_contig_26701",0,0,0,8,22
"A_C_D_contig_26702",0,0,0,8,53
"A_C_D_contig_26703",0,0,0,4,47
"A_C_D_contig_26704",0,0,0,2,31
"A_C_D_contig_26705",82,89,103,3,34
"A_C_D_contig_26706",0,0,0,2,28
"A_C_D_contig_26707",0,0,0,8,47
"A_C_D_contig_26708",71,72,82,3,7
"A_C_D_contig_26709",0,0,0,6,40
"A_C_D_contig_2671",7,7,9,3,60
"A_C_D_contig_26710",0,0,0,5,86
"A_C_D_contig_26711",0,0,0,8,7
"A_C_D_contig_26712",44,54,58,6,86
"A_C_D_contig_26713",0,0,0,3,43
"A_C_D_contig_26714",37,36,44,5,1
"A_C_D_contig_26715",0,0,0,3,44
"A_C_D_contig_26716",50,41,49,8,36
"A_C_D_contig_26717",77,80,85,1,80
"A_C_D_contig_26718",0,0,0,7,68
"A_C_D_contig_26719",0,0,0,3,35
"A_C_D_contig_2672",90,87,98,2,52
"A_C_D_contig_26720",79,83,97,5,42
"A_C_D_contig_26721",74,0,0,4,9
"A_C_D_contig_26722",0,0,0,3,15
"A_C_D_contig_26723",0,0,0,2,44
"A_C_D_contig_26724",0,0,0,4,18
"A_C_D_contig_26725",0,0,0,2,28
"A_C_D_contig_26726",0,0,0,3,33
"A_C_D_contig_26727",0,0,0,2,28
"A_C_D_contig_26728",74,82,89,2,41
"A_C_D_contig_26729",0,0,0,8,36
"A_C_D_contig_2673",0,0,0,6,61
"A_C_D_contig_26730",0,0,0,8,25
"A_C_D_contig_26731",0,0,0,5,10
"A_C_D_contig_26732",90,112,0,3,53
"A_C_D_contig_26733",69,0,0,3,34
"A_C_D_contig_26734",0,0,0,5,4
"A_C_D_contig_26735",50,61,67,8,36
"A_C_D_contig_26736",0,0,0,8,36
"A_C_D_contig_26737",74,103,0,3,34
"A_C_D_contig_26738",108,114,128,2,44
"A_C_D_contig_26739",0,0,0,3,35
"A_C_D_contig_2674",0,0,0,6,29
"A_C_D_contig_26740",0,0,0,3,25
"A_C_D_contig_26741",0,0,0,5,63
"A_C_D_contig_26742",0,0,0,5,89
"A_C_D_contig_26743",56,56,56,8,36
"A_C_D_contig_26744",52,49,77,6,90
"A_C_D_contig_26745",40,30,51,2,58
"A_C_D_contig_26746",73,85,90,2,74
"A_C_D_contig_26747",0,0,0,4,28
"A_C_D_contig_26748",0,0,0,2,58
"A_C_D_contig_26749",0,0,0,3,34
"A_C_D_contig_2675",0,0,0,6,6
"A_C_D_contig_26750",0,0,0,2,52
"A_C_D_contig_26751",87,0,0,5,27
"A_C_D_contig_26752",0,0,0,8,41
"A_C_D_contig_26753",0,0,0,8,7
"A_C_D_contig_26754",0,0,0,5,10
"A_C_D_contig_26755",0,0,0,5,1
"A_C_D_contig_26756",69,103,0,2,52
"A_C_D_contig_26757",0,0,0,2,48
"A_C_D_contig_26758",74,82,89,2,20
"A_C_D_contig_26759",0,0,0,3,30
"A_C_D_contig_2676",42,50,52,7,3
"A_C_D_contig_26760",0,0,0,2,44
"A_C_D_contig_26761",0,0,0,2,34
"A_C_D_contig_26762",0,0,0,1,38
"A_C_D_contig_26763",53,52,65,1,38
"A_C_D_contig_26764",0,0,0,4,79
"A_C_D_contig_26765",53,57,68,1,84
"A_C_D_contig_26766",101,112,130,8,53
"A_C_D_contig_26767",27,23,31,4,47
"A_C_D_contig_26768",0,0,0,3,29
"A_C_D_contig_26769",0,0,0,4,17
"A_C_D_contig_2677",52,49,50,6,19
"A_C_D_contig_26770",0,0,0,7,69
"A_C_D_contig_26771",69,69,86,2,31
"A_C_D_contig_26772",0,0,0,2,43
"A_C_D_contig_26773",0,0,0,5,46
"A_C_D_contig_26774",88,92,106,2,43
"A_C_D_contig_26775",0,0,0,6,13
"A_C_D_contig_26776",0,0,0,2,44
"A_C_D_contig_26777",0,0,0,8,25
"A_C_D_contig_26778",0,0,0,3,31
"A_C_D_contig_26779",0,0,0,8,85
"A_C_D_contig_2678",0,0,0,5,10
"A_C_D_contig_26780",0,0,0,3,72
"A_C_D_contig_26781",0,0,0,3,15
"A_C_D_contig_26782",50,61,69,3,58
"A_C_D_contig_26783",0,0,0,8,36
"A_C_D_contig_26784",69,69,70,2,82
"A_C_D_contig_26785",0,0,0,8,36
"A_C_D_contig_26786",0,0,0,1,51
"A_C_D_contig_26787",0,0,0,6,13
"A_C_D_contig_26788",0,0,0,4,68
"A_C_D_contig_26789",0,0,0,6,73
"A_C_D_contig_2679",20,21,28,6,40
"A_C_D_contig_26790",0,0,0,5,7
"A_C_D_contig_26791",0,0,0,4,47
"A_C_D_contig_26792",0,0,0,6,13
"A_C_D_contig_26793",79,83,97,6,8
"A_C_D_contig_26794",0,0,0,5,8
"A_C_D_contig_26795",0,0,0,5,11
"A_C_D_contig_26796",0,0,0,5,26
"A_C_D_contig_26797",0,0,0,1,83
"A_C_D_contig_26798",0,0,0,5,10
"A_C_D_contig_26799",0,0,0,8,25
"A_C_D_contig_268",74,82,91,2,52
"A_C_D_contig_2680",0,0,0,3,68
"A_C_D_contig_26800",44,0,0,6,26
"A_C_D_contig_26801",43,34,54,4,47
"A_C_D_contig_26802",0,0,0,3,81
"A_C_D_contig_26803",0,0,0,2,48
"A_C_D_contig_26804",0,0,0,3,58
"A_C_D_contig_26805",0,0,0,3,36
"A_C_D_contig_26806",0,0,0,4,82
"A_C_D_contig_26807",79,83,97,5,63
"A_C_D_contig_26808",0,0,0,6,8
"A_C_D_contig_26809",103,114,128,2,70
"A_C_D_contig_2681",0,0,0,3,88
"A_C_D_contig_26810",0,0,0,5,27
"A_C_D_contig_26811",0,0,0,4,18
"A_C_D_contig_26812",0,0,0,6,61
"A_C_D_contig_26813",0,0,0,8,33
"A_C_D_contig_26814",0,0,0,6,71
"A_C_D_contig_26815",0,0,0,8,85
"A_C_D_contig_26816",92,100,115,2,9
"A_C_D_contig_26817",54,51,63,6,84
"A_C_D_contig_26818",0,0,0,3,34
"A_C_D_contig_26819",0,0,0,5,42
"A_C_D_contig_2682",8,0,7,3,87
"A_C_D_contig_26820",0,0,0,5,27
"A_C_D_contig_26821",0,0,0,8,39
"A_C_D_contig_26822",43,44,54,2,58
"A_C_D_contig_26823",0,0,0,8,24
"A_C_D_contig_26824",64,66,78,2,31
"A_C_D_contig_26825",0,0,0,2,31
"A_C_D_contig_26826",0,0,0,8,33
"A_C_D_contig_26827",43,44,54,2,58
"A_C_D_contig_26828",53,57,68,1,84
"A_C_D_contig_26829",0,0,0,6,10
"A_C_D_contig_2683",0,0,0,6,8
"A_C_D_contig_26830",0,0,0,2,31
"A_C_D_contig_26831",0,0,0,2,44
"A_C_D_contig_26832",0,0,0,8,36
"A_C_D_contig_26833",0,0,0,6,73
"A_C_D_contig_26834",0,0,0,8,36
"A_C_D_contig_26835",0,0,0,2,48
"A_C_D_contig_26836",0,0,0,5,71
"A_C_D_contig_26837",0,0,0,6,71
"A_C_D_contig_26838",34,31,38,2,47
"A_C_D_contig_26839",61,65,76,3,15
"A_C_D_contig_2684",51,48,62,6,19
"A_C_D_contig_26840",0,0,0,2,43
"A_C_D_contig_26841",0,0,0,5,63
"A_C_D_contig_26842",68,78,87,3,22
"A_C_D_contig_26843",0,0,0,3,34
"A_C_D_contig_26844",0,0,0,3,76
"A_C_D_contig_26845",34,31,38,2,47
"A_C_D_contig_26846",0,0,0,3,24
"A_C_D_contig_26847",0,0,0,5,4
"A_C_D_contig_26848",0,0,0,8,25
"A_C_D_contig_26849",45,30,51,3,58
"A_C_D_contig_2685",71,72,82,3,7
"A_C_D_contig_26850",0,0,0,1,38
"A_C_D_contig_26851",0,0,0,2,43
"A_C_D_contig_26852",0,0,0,5,10
"A_C_D_contig_26853",25,26,33,3,76
"A_C_D_contig_26854",103,103,120,3,48
"A_C_D_contig_26855",0,0,0,8,7
"A_C_D_contig_26856",70,75,84,3,24
"A_C_D_contig_26857",0,0,0,1,3
"A_C_D_contig_26858",105,0,119,8,53
"A_C_D_contig_26859",78,81,96,4,74
"A_C_D_contig_2686",0,0,0,6,2
"A_C_D_contig_26860",74,74,81,2,41
"A_C_D_contig_26861",74,67,81,3,24
"A_C_D_contig_26862",0,0,0,1,80
"A_C_D_contig_26863",0,0,0,2,82
"A_C_D_contig_26864",0,0,0,2,34
"A_C_D_contig_26865",0,0,0,3,5
"A_C_D_contig_26866",108,114,124,3,53
"A_C_D_contig_26867",0,0,0,2,9
"A_C_D_contig_26868",56,56,56,2,58
"A_C_D_contig_26869",0,0,0,4,79
"A_C_D_contig_2687",0,0,0,2,28
"A_C_D_contig_26870",80,84,88,3,34
"A_C_D_contig_26871",0,0,0,6,68
"A_C_D_contig_26872",102,111,127,3,5
"A_C_D_contig_26873",0,0,0,3,85
"A_C_D_contig_26874",0,0,0,5,68
"A_C_D_contig_26875",0,0,0,2,44
