"contig","metabat.1","metabat.4"
"contig_10258",24,23
"contig_10259",0,0
"contig_1026",9,10
"contig_10260",0,0
"contig_10261",20,20
"contig_10262",29,29
"contig_10263",0,0
"contig_10264",0,0
"contig_10265",10,9
"contig_10266",0,0
"contig_10267",0,0
"contig_10268",0,0
"contig_10269",0,0
"contig_1027",0,0
"contig_10270",0,0
"contig_10271",0,0
"contig_10272",0,0
"contig_10273",0,0
"contig_10274",0,0
"contig_10275",0,0
"contig_10276",19,19
"contig_10277",0,0
"contig_10278",0,0
"contig_10279",0,0
"contig_1028",0,0
"contig_10280",0,0
"contig_10281",0,0
"contig_10282",0,0
"contig_10283",0,0
"contig_10284",0,0
"contig_10285",0,0
"contig_10286",0,0
"contig_10287",0,0
"contig_10288",0,0
"contig_10289",0,0
"contig_1029",9,10
"contig_10290",0,0
"contig_10291",0,0
"contig_10292",20,20
"contig_10293",30,31
"contig_10294",0,0
"contig_10295",0,0
"contig_10296",0,0
"contig_10297",0,0
"contig_10298",0,0
"contig_10299",31,32
"contig_103",2,2
"contig_1030",0,0
"contig_10300",0,0
"contig_10301",23,22
"contig_10302",0,0
"contig_10303",0,0
"contig_10304",0,0
"contig_10305",0,22
"contig_10306",0,0
"contig_10307",0,0
"contig_10308",19,19
"contig_10309",0,0
"contig_1031",12,13
"contig_10310",0,0
"contig_10311",31,32
"contig_10312",0,0
"contig_10313",0,0
"contig_10314",0,0
"contig_10315",20,20
"contig_10316",0,0
"contig_10317",0,0
"contig_10318",0,0
"contig_10319",0,0
"contig_1032",0,0
"contig_10320",23,22
"contig_10321",0,0
"contig_10322",0,0
"contig_10323",0,0
"contig_10324",0,0
"contig_10325",0,0
"contig_10326",0,0
"contig_10327",0,0
"contig_10328",0,0
"contig_10329",0,0
"contig_1033",16,16
"contig_10330",0,0
"contig_10331",0,0
"contig_10332",0,0
"contig_10333",0,0
"contig_10334",0,0
"contig_10335",0,19
"contig_10336",32,0
"contig_10337",0,0
"contig_10338",0,0
"contig_10339",0,0
"contig_1034",3,3
"contig_10340",0,0
"contig_10341",23,22
"contig_10342",0,0
"contig_10343",0,19
"contig_10344",10,9
"contig_10345",0,0
"contig_10346",24,23
"contig_10347",0,0
"contig_10348",0,0
"contig_10349",0,0
"contig_1035",7,8
"contig_10350",0,0
"contig_10351",0,0
"contig_10352",0,0
"contig_10353",0,0
"contig_10354",0,0
"contig_10355",0,0
"contig_10356",0,0
"contig_10357",0,0
"contig_10358",33,33
"contig_10359",0,0
"contig_1036",0,0
"contig_10360",0,0
"contig_10361",32,0
"contig_10362",0,0
"contig_10363",0,0
"contig_10364",20,20
"contig_10365",0,0
"contig_10366",0,0
"contig_10367",0,0
"contig_10368",31,32
"contig_10369",0,0
"contig_1037",7,8
"contig_10370",0,0
"contig_10371",0,0
"contig_10372",0,0
"contig_10373",0,0
"contig_10374",0,0
"contig_10375",0,0
"contig_10376",0,0
"contig_10377",0,0
"contig_10378",33,33
"contig_10379",10,9
"contig_1038",2,2
"contig_10380",0,0
"contig_10381",29,29
"contig_10382",11,11
"contig_10383",0,0
"contig_10384",0,0
"contig_10385",0,0
"contig_10386",0,0
"contig_10387",0,0
"contig_10388",0,0
"contig_10389",0,0
"contig_1039",0,0
"contig_10390",33,33
"contig_10391",0,0
"contig_10392",0,0
"contig_10393",0,0
"contig_10394",0,0
"contig_10395",0,0
"contig_10396",0,0
"contig_10397",0,0
"contig_10398",0,0
"contig_10399",24,23
"contig_104",2,2
"contig_1040",0,0
"contig_10400",0,0
"contig_10401",10,9
"contig_10402",0,0
"contig_10403",0,0
"contig_10404",0,0
"contig_10405",0,0
"contig_10406",0,0
"contig_10407",20,20
"contig_10408",16,16
"contig_10409",0,0
"contig_1041",0,0
"contig_10410",10,9
"contig_10411",0,0
"contig_10412",4,4
"contig_10413",0,0
"contig_10414",0,0
"contig_10415",0,0
"contig_10416",0,0
"contig_10417",10,9
"contig_10418",0,0
"contig_10419",0,0
"contig_1042",0,0
"contig_10420",0,0
"contig_10421",20,20
"contig_10422",0,0
"contig_10423",0,0
"contig_10424",0,0
"contig_10425",0,0
"contig_10426",0,0
"contig_10427",0,0
"contig_10428",0,0
"contig_10429",0,0
"contig_1043",0,5
"contig_10430",0,0
"contig_10431",0,0
"contig_10432",0,0
"contig_10433",24,23
"contig_10434",0,0
"contig_10435",0,0
"contig_10436",0,0
"contig_10437",0,0
"contig_10438",0,0
"contig_10439",0,0
"contig_1044",29,29
"contig_10440",0,0
"contig_10441",0,0
"contig_10442",0,0
"contig_10443",0,0
"contig_10444",29,29
"contig_10445",0,0
"contig_10446",29,29
"contig_10447",0,0
"contig_10448",0,0
"contig_10449",33,33
"contig_1045",9,10
"contig_10450",0,0
